Artista,Cancion,Album,Año,Genero,Duracion
,,,,,
Ace of Base,,,,,0
Ace of Base,All That She Wants,Happy Nation,1993,Pop,3:34
Ace of Base,Don't Turn Around,Happy Nation,1993,Pop,3:53
Ace of Base,Young and Proud,Happy Nation,1993,Pop,4:00
Ace of Base,The Sign,Happy Nation,1993,Pop,3:14
Ace of Base,Living In Danger,Happy Nation,1993,Pop,3:46
Ace of Base,Voulez-vous Danser,Happy Nation,1993,Pop,3:22
Ace of Base,Happy Nation,Happy Nation,1993,Pop,4:19
Ace of Base,Hear Me Calling,Happy Nation,1993,Pop,3:54
Ace of Base,"Waiting for Magic (Total Remix 7"")",Happy Nation,1993,Pop,3:56
Ace of Base,Fashion Party,Happy Nation,1993,Pop,4:15
Ace of Base,Wheel of Fortune,Happy Nation,1993,Pop,3:58
Ace of Base,Dancer In a Daydream,Happy Nation,1993,Pop,3:43
Ace of Base,My Mind (Mindless Mix),Happy Nation,1993,Pop,4:14
Ace of Base,All That She Wants (Bangra Version),Happy Nation,1993,Pop,4:20
Ace of Base,Happy Nation (Remix),Happy Nation,1993,Pop,3:47
Ace of Base,Beautiful Life,The Bridge,1995,Pop,3:40
Ace of Base,Never Gonna Say I'm Sorry,The Bridge,1995,Pop,3:16
Ace of Base,Lucky Love,The Bridge,1995,Pop,2:54
Ace of Base,Edge of Heaven,The Bridge,1995,Pop,3:50
Ace of Base,Strange Ways,The Bridge,1995,Pop,4:25
Ace of Base,Ravine,The Bridge,1995,Pop,4:39
Ace of Base,Perfect World,The Bridge,1995,Pop,3:55
Ace of Base,Angel Eyes,The Bridge,1995,Pop,3:13
Ace of Base,Whispers In Blindness,The Bridge,1995,Pop,4:11
Ace of Base,My Déjà Vu,The Bridge,1995,Pop,3:40
Ace of Base,You and I,The Bridge,1995,Pop,4:08
Ace of Base,Wave Wet Sand,The Bridge,1995,Pop,3:18
Ace of Base,Que Sera,The Bridge,1995,Pop,3:47
Ace of Base,Just ´N´ Image,The Bridge,1995,Pop,3:08
Ace of Base,Lucky Love (Acoustic Version),The Bridge,1995,Pop,2:54
Ace of Base,Experience Pearls,The Bridge,1995,Pop,3:58
Ace of Base,Blooming 18,The Bridge,1995,Pop,3:37
Ace of Base,Life Is a Flower,Flowers,1998,Pop,3:45
Ace of Base,"Always Have, Always Will",Flowers,1998,Pop,3:44
Ace of Base,Cruel Summer,Flowers,1998,Pop,3:35
Ace of Base,Travel to Romantis,Flowers,1998,Pop,4:10
Ace of Base,Adventures In Paradise,Flowers,1998,Pop,3:32
Ace of Base,Dr. Sun,Flowers,1998,Pop,3:35
Ace of Base,Cecilia,Flowers,1998,Pop,3:55
Ace of Base,He Decides,Flowers,1998,Pop,3:09
Ace of Base,I Pray,Flowers,1998,Pop,3:18
Ace of Base,Tokyo girl,Flowers,1998,Pop,3:36
Ace of Base,Don't Go Away,Flowers,1998,Pop,3:41
Ace of Base,Captain Nemo,Flowers,1998,Pop,4:02
